threshold,coverage,kept_count,selective_accuracy,missed_correct_rate
0.5,1.0,500,0.618,0.0
0.6,1.0,500,0.618,0.0
0.7,1.0,500,0.618,0.0
0.8,0.998,499,0.6172344689378757,0.003236245954692557
0.9,0.568,284,0.8767605633802817,0.1941747572815534
